datetime,power,hour,day,month,air_temperature,humidity,irradiance,pressure,rain,wind_direction,wind_velocity
2022-01-01 00:00:00,0.0,0,1,1,0.62,92.5,0.0,998.7,0.0,181.83,0.53
2022-01-01 01:00:00,0.0,1,1,1,0.88,92.75,0.0,998.72,0.0,249.17,0.95
2022-01-01 02:00:00,0.0,2,1,1,0.45,92.0,0.0,998.92,0.0,218.5,0.52
2022-01-01 03:00:00,0.0,3,1,1,1.1,92.75,0.0,998.92,0.0,280.17,1.38
2022-01-01 04:00:00,0.0,4,1,1,1.45,90.0,0.0,998.95,0.0,240.67,1.0
2022-01-01 05:00:00,0.0,5,1,1,1.62,88.75,0.0,999.1,0.0,255.5,1.6
2022-01-01 06:00:00,0.0,6,1,1,1.25,88.5,0.0,999.2,0.0,117.0,1.17
2022-01-01 07:00:00,0.0,7,1,1,1.6,88.0,0.0,999.72,0.0,329.67,1.17
2022-01-01 08:00:00,0.0,8,1,1,2.62,85.0,9.05,1000.28,0.0,132.67,1.58
2022-01-01 09:00:00,4.5,9,1,1,4.92,79.0,103.95,1000.45,0.0,102.83,1.5
2022-01-01 10:00:00,5.4,10,1,1,7.52,67.0,245.48,1000.45,0.0,262.83,1.58
2022-01-01 11:00:00,39.8,11,1,1,9.25,59.0,335.5,1000.05,0.0,332.33,3.2
2022-01-01 12:00:00,79.4,12,1,1,10.92,53.0,354.62,999.4,0.0,335.67,2.97
2022-01-01 13:00:00,77.4,13,1,1,12.18,48.5,321.9,998.7,0.0,315.83,2.27
2022-01-01 14:00:00,26.2,14,1,1,12.32,46.5,186.1,998.08,0.0,242.67,0.82
2022-01-01 15:00:00,4.1,15,1,1,9.18,57.5,26.15,997.8,0.0,239.33,0.75
2022-01-01 16:00:00,1.9,16,1,1,7.0,67.5,4.62,998.1,0.0,205.83,0.6
2022-01-01 17:00:00,0.0,17,1,1,4.5,76.75,0.0,998.6,0.0,245.0,0.65
2022-01-01 18:00:00,0.0,18,1,1,3.72,82.5,0.0,998.6,0.0,243.67,0.63
2022-01-01 19:00:00,0.0,19,1,1,2.62,85.0,0.0,999.25,0.0,181.0,0.38
2022-01-01 20:00:00,0.0,20,1,1,2.1,87.25,0.0,999.72,0.0,228.33,0.77
2022-01-01 21:00:00,0.0,21,1,1,1.3,88.5,0.0,1000.0,0.0,148.33,0.48
2022-01-01 22:00:00,0.0,22,1,1,0.78,89.5,0.0,1000.25,0.0,229.0,0.43
2022-01-01 23:00:00,0.0,23,1,1,0.32,90.75,0.0,1000.58,0.0,226.83,0.37
2022-01-02 00:00:00,0.0,0,2,1,0.0,91.5,0.0,1000.65,0.0,123.67,0.45
2022-01-02 01:00:00,0.0,1,2,1,-0.5,92.0,0.0,1000.58,0.0,116.17,0.38
2022-01-02 02:00:00,0.0,2,2,1,-0.1,92.25,0.0,1000.38,0.0,217.5,0.67
