hour,day,month,air_temperature,humidity,irradiance,pressure,rain,wind_direction,wind_velocity,estimated_power
0,7,11,4.8100,75.9400,0.0000,987.3800,0.0000,85.1900,0.9400,0.0855
1,7,11,5.0100,74.7600,0.0000,987.1800,0.0000,98.2700,0.8700,0.0863
2,7,11,4.8100,75.9400,0.0000,987.2800,0.0000,74.5600,1.3400,0.0870
3,7,11,3.8000,83.0500,0.0000,987.0700,0.0000,71.2900,0.9000,0.0879
4,7,11,3.6000,81.8600,0.0000,986.9700,0.0000,82.7400,0.6000,0.0888
5,7,11,4.0000,74.7600,0.0000,986.9700,0.0000,56.5700,1.4400,0.0896
6,7,11,3.4000,81.8600,0.0000,986.8700,0.0000,89.2800,0.6700,0.0911
7,7,11,3.4000,80.6800,0.0000,987.2800,0.0000,71.2900,0.9000,0.0927
8,7,11,4.4100,77.1300,14.6300,987.6900,0.0000,56.5700,1.3400,0.0958
9,7,11,5.5200,88.9700,117.2100,988.3100,0.0000,346.8400,0.3700,6.9543
10,7,11,9.1600,71.2000,221.7800,988.2100,0.0000,324.7700,0.2600,18.4764
11,7,11,11.3800,62.9200,326.3600,987.9000,0.0000,236.4600,0.1600,58.5494
12,7,11,12.4900,58.1800,383.8300,986.9700,0.0000,162.8700,0.1600,82.1054
13,7,11,13.6000,59.3600,384.2800,986.3500,0.0000,153.8800,0.4300,84.8047
14,7,11,14.3100,58.1800,337.2700,985.7300,0.0000,174.3200,0.7000,82.0299
15,7,11,14.4100,60.5500,247.2400,985.4200,0.0000,186.5800,0.8700,66.9215
16,7,11,13.6000,74.7600,128.7600,985.0100,0.0000,174.3200,0.7000,27.6839
17,7,11,11.8800,68.8400,15.0900,985.3200,0.0000,208.6600,0.6000,0.2320
18,7,11,10.5700,47.5200,0.0000,985.7300,0.0000,199.6600,1.0700,0.0970
19,7,11,9.6600,57.0000,0.0000,986.2500,0.0000,210.2900,1.1100,0.0947
20,7,11,8.7500,66.4700,0.0000,986.5600,0.0000,199.6600,0.9800,0.0929
21,7,11,8.3500,68.8400,0.0000,986.7600,0.0000,227.4700,0.4300,0.0913
22,7,11,7.8400,71.2000,0.0000,986.7600,0.0000,236.4600,0.3300,0.0900
23,7,11,8.1500,70.0200,0.0000,986.8700,0.0000,199.6600,0.6000,0.0889
