hour,day,month,air_temperature,humidity,irradiance,pressure,rain,wind_direction,wind_velocity,estimated_power
0,8,11,6.93,78.31,0.00,986.35,0.00,162.87,0.33,0.00
1,8,11,6.02,81.86,0.00,986.35,0.00,89.28,0.50,0.00
2,8,11,5.42,83.05,0.00,986.25,0.00,346.84,0.22,0.00
3,8,11,4.71,86.60,0.00,986.14,0.00,346.84,0.37,0.00
4,8,11,3.60,91.33,0.00,985.83,0.00,346.84,0.13,0.00
5,8,11,2.79,97.26,0.00,985.94,0.00,310.05,0.16,0.00
6,8,11,2.29,103.18,0.00,985.83,0.00,273.25,0.22,0.00
7,8,11,2.09,104.36,0.00,986.04,0.00,273.25,0.13,0.00
8,8,11,2.09,104.36,13.27,986.56,0.00,295.33,0.26,0.00
9,8,11,4.11,103.18,117.39,986.87,0.00,273.25,0.13,6.38
10,8,11,7.84,88.97,241.51,987.07,0.00,346.84,0.13,18.84
11,8,11,10.57,75.94,324.54,986.66,0.00,199.66,0.13,44.93
12,8,11,11.98,72.39,366.37,986.04,0.00,177.59,0.26,72.61
13,8,11,12.99,71.20,373.82,985.42,0.00,199.66,0.37,81.28
14,8,11,14.00,71.20,337.27,985.01,0.00,155.51,1.04,78.34
15,8,11,14.21,70.02,238.79,984.80,0.00,175.95,1.24,58.84
16,8,11,12.79,80.68,126.03,984.90,0.00,192.31,1.47,23.76
17,8,11,10.57,75.94,13.72,985.32,0.00,216.02,1.41,0.13
18,8,11,9.16,80.68,0.00,986.04,0.00,199.66,0.83,0.00
19,8,11,8.55,77.13,0.00,986.66,0.00,199.66,0.73,0.00
20,8,11,8.04,79.49,0.00,987.28,0.00,206.21,0.83,0.00
21,8,11,7.54,79.49,0.00,987.80,0.00,287.97,0.37,0.00
22,8,11,5.62,93.70,0.00,988.21,0.00,126.07,0.22,0.00
23,8,11,5.32,97.26,0.00,988.31,0.00,346.84,0.13,0.00
