datetime,hour,day,month,air_temperature,humidity,irradiance,pressure,rain,wind_direction,wind_velocity
2024-11-04 00:00:00,0,4,11,6.32,100.0,0.0,1001.32,0.0,110.83,0.22
2024-11-04 01:00:00,1,4,11,5.98,100.0,0.0,1001.32,0.0,273.33,0.47
2024-11-04 02:00:00,2,4,11,5.98,100.0,0.0,1001.15,0.0,252.17,0.58
2024-11-04 03:00:00,3,4,11,6.15,100.0,0.0,1000.85,0.0,262.0,0.62
2024-11-04 04:00:00,4,4,11,6.7,100.0,0.0,1000.75,0.0,337.5,1.82
2024-11-04 05:00:00,5,4,11,6.65,100.0,0.0,1000.65,0.0,340.33,2.18
2024-11-04 06:00:00,6,4,11,6.82,98.5,0.0,1000.65,0.0,229.83,2.05
2024-11-04 07:00:00,7,4,11,6.93,98.0,16.08,1000.65,0.0,352.33,1.78
2024-11-04 08:00:00,8,4,11,8.4,92.0,157.15,1001.0,0.0,181.5,1.78
2024-11-04 09:00:00,9,4,11,10.65,82.75,304.68,1001.0,0.0,237.5,1.72
2024-11-04 10:00:00,10,4,11,12.4,71.75,411.35,1000.62,0.0,324.17,2.55
2024-11-04 11:00:00,11,4,11,13.8,68.0,468.0,1000.15,0.0,320.83,2.25
2024-11-04 12:00:00,12,4,11,15.38,61.75,468.12,999.2,0.0,308.33,1.73
2024-11-04 13:00:00,13,4,11,16.15,59.5,415.5,998.48,0.0,302.83,2.02
2024-11-04 14:00:00,14,4,11,16.62,56.5,277.95,997.95,0.0,249.0,1.17
2024-11-04 15:00:00,15,4,11,13.4,68.25,25.08,997.95,0.0,0.0,0.0
2024-11-04 16:00:00,16,4,11,10.72,81.75,8.32,998.15,0.0,0.0,0.0
2024-11-04 17:00:00,17,4,11,8.8,90.5,0.0,998.45,0.0,0.0,0.0
2024-11-04 18:00:00,18,4,11,7.78,95.75,0.0,999.08,0.0,108.17,0.27
2024-11-04 19:00:00,19,4,11,7.15,98.5,0.0,999.5,0.0,154.67,0.23
2024-11-04 20:00:00,20,4,11,6.57,99.75,0.0,999.92,0.0,100.33,0.18
2024-11-04 21:00:00,21,4,11,6.05,100.0,0.0,1000.38,0.0,237.0,0.25
2024-11-04 22:00:00,22,4,11,5.8,100.0,0.0,1000.5,0.0,156.0,0.2
2024-11-04 23:00:00,23,4,11,5.55,100.0,0.0,1000.4,0.0,221.67,0.35
2024-11-05 00:00:00,0,5,11,4.82,100.0,0.0,1000.45,0.0,235.67,0.33
2024-11-05 01:00:00,1,5,11,5.03,100.0,0.0,1000.45,0.0,267.33,0.72
2024-11-05 02:00:00,2,5,11,4.42,100.0,0.0,1000.4,0.0,203.83,0.28
2024-11-05 03:00:00,3,5,11,4.1,100.0,0.0,1000.4,0.0,250.17,0.47
2024-11-05 04:00:00,4,5,11,4.05,100.0,0.0,1000.32,0.0,263.83,0.42
2024-11-05 05:00:00,5,5,11,4.18,100.0,0.0,1000.35,0.0,158.17,0.53
2024-11-05 06:00:00,6,5,11,3.5,100.0,0.0,1000.4,0.0,100.17,0.18
2024-11-05 07:00:00,7,5,11,3.2,100.0,9.88,1000.82,0.0,266.33,0.57
2024-11-05 08:00:00,8,5,11,6.5,98.25,140.05,1001.02,0.0,58.83,1.35
2024-11-05 09:00:00,9,5,11,8.48,86.75,223.7,1000.9,0.0,18.17,1.65
2024-11-05 10:00:00,10,5,11,10.65,77.0,342.8,1000.58,0.0,78.67,1.62
2024-11-05 11:00:00,11,5,11,12.12,68.25,371.0,999.9,0.0,283.67,1.83
2024-11-05 12:00:00,12,5,11,13.2,63.75,320.45,999.08,0.0,279.0,1.5
2024-11-05 13:00:00,13,5,11,14.05,61.0,289.12,998.35,0.0,334.67,1.15
