datetime,month,day,hour,air_temperature,humidity,irradiance,pressure,rain,wind_direction,wind_velocity
2024-11-04 00:00:00,11,4,0,6.8,100,0.0,1003.2,0.0,27,0.22
2024-11-04 01:00:00,11,4,1,6.4,100,0.0,1003.4,0.0,360,0.39
2024-11-04 02:00:00,11,4,2,6.4,100,0.0,1003.4,0.0,45,0.14
2024-11-04 03:00:00,11,4,3,6.2,100,0.0,1003.1,0.0,90,0.19
2024-11-04 04:00:00,11,4,4,5.8,100,0.0,1003.0,0.0,360,0.19
2024-11-04 05:00:00,11,4,5,5.8,100,0.0,1002.7,0.0,45,0.14
2024-11-04 06:00:00,11,4,6,5.4,100,0.0,1002.6,0.0,63,0.22
2024-11-04 07:00:00,11,4,7,5.6,100,0.0,1002.6,0.0,333,0.22
2024-11-04 08:00:00,11,4,8,5.6,100,115.2,1002.9,0.0,270,0.0
2024-11-04 09:00:00,11,4,9,7.3,95,535.68,1003.4,0.0,180,0.11
2024-11-04 10:00:00,11,4,10,10.8,84,1035.0,1003.2,0.0,360,0.11
2024-11-04 11:00:00,11,4,11,13.8,73,1396.8,1003.1,0.0,27,0.22
2024-11-04 12:00:00,11,4,12,16.2,63,1587.6,1002.1,0.0,8,0.69
2024-11-04 13:00:00,11,4,13,17.3,55,1590.48,1001.8,0.0,18,0.31
2024-11-04 14:00:00,11,4,14,18.1,50,1402.2,1001.2,0.0,90,0.19
2024-11-04 15:00:00,11,4,15,18.2,49,1046.88,1001.0,0.0,34,0.72
2024-11-04 16:00:00,11,4,16,17.3,59,573.12,1001.0,0.0,146,0.36
2024-11-04 17:00:00,11,4,17,15.4,64,119.52,1001.2,0.0,202,0.53
2024-11-04 18:00:00,11,4,18,14.1,68,0.0,1001.2,0.0,49,0.92
2024-11-04 19:00:00,11,4,19,9.4,97,0.0,1001.8,0.0,14,0.42
2024-11-04 20:00:00,11,4,20,9.1,94,0.0,1001.7,0.0,146,0.36
2024-11-04 21:00:00,11,4,21,9.9,85,0.0,1002.4,0.0,45,0.14
2024-11-04 22:00:00,11,4,22,7.8,90,0.0,1002.6,0.0,135,0.14
2024-11-04 23:00:00,11,4,23,8.3,87,0.0,1002.2,0.0,225,0.28
2024-11-05 00:00:00,11,5,0,7.9,88,0.0,1002.3,0.0,27,0.22
2024-11-05 01:00:00,11,5,1,7.3,87,0.0,1002.8,0.0,180,0.11
2024-11-05 02:00:00,11,5,2,7.4,82,0.0,1002.7,0.0,34,0.72
2024-11-05 03:00:00,11,5,3,4.8,97,0.0,1002.7,0.0,45,1.0
2024-11-05 04:00:00,11,5,4,7.9,76,0.0,1002.5,0.0,45,0.86
2024-11-05 05:00:00,11,5,5,7.0,81,0.0,1002.3,0.0,360,0.39
2024-11-05 06:00:00,11,5,6,6.4,83,0.0,1002.4,0.0,14,0.42
2024-11-05 07:00:00,11,5,7,6.9,78,0.0,1002.8,0.0,22,1.08
2024-11-05 08:00:00,11,5,8,4.1,97,112.32,1003.1,0.0,90,0.11
2024-11-05 09:00:00,11,5,9,6.6,90,521.28,1003.4,0.0,214,0.36
2024-11-05 10:00:00,11,5,10,10.6,77,991.8,1003.4,0.0,135,0.14
2024-11-05 11:00:00,11,5,11,12.8,66,1266.48,1002.7,0.0,288,0.31
2024-11-05 12:00:00,11,5,12,14.4,61,1406.88,1001.9,0.0,342,0.31
2024-11-05 13:00:00,11,5,13,15.5,54,1468.8,1001.7,0.0,342,0.31
2024-11-05 14:00:00,11,5,14,16.1,48,1278.72,1000.9,0.0,297,0.22
2024-11-05 15:00:00,11,5,15,15.9,52,794.88,1001.0,0.0,117,0.22
2024-11-05 16:00:00,11,5,16,15.6,59,424.8,1000.6,0.0,79,0.5
2024-11-05 17:00:00,11,5,17,14.5,61,100.08,1001.0,0.0,180,0.31
2024-11-05 18:00:00,11,5,18,13.0,57,0.0,1000.9,0.0,27,0.89
2024-11-05 19:00:00,11,5,19,8.4,87,0.0,1002.0,0.0,14,0.42
2024-11-05 20:00:00,11,5,20,6.8,97,0.0,1002.1,0.0,90,0.19
2024-11-05 21:00:00,11,5,21,6.5,92,0.0,1002.3,0.0,180,0.31
2024-11-05 22:00:00,11,5,22,6.3,98,0.0,1002.5,0.0,207,0.22
2024-11-05 23:00:00,11,5,23,6.3,97,0.0,1002.5,0.0,360,0.11
2024-11-06 00:00:00,11,6,0,6.3,97,0.0,1002.8,0.0,270,0.19
2024-11-06 01:00:00,11,6,1,5.4,98,0.0,1003.0,0.0,270,0.19
2024-11-06 02:00:00,11,6,2,5.3,96,0.0,1002.7,0.0,270,0.19
2024-11-06 03:00:00,11,6,3,4.6,100,0.0,1002.9,0.0,135,0.14
2024-11-06 04:00:00,11,6,4,3.3,94,0.0,1003.1,0.0,11,0.5
2024-11-06 05:00:00,11,6,5,3.1,99,0.0,1003.5,0.0,45,0.42
2024-11-06 06:00:00,11,6,6,2.8,100,0.0,1003.7,0.0,63,0.44
2024-11-06 07:00:00,11,6,7,2.9,100,0.0,1003.9,0.0,360,0.31
2024-11-06 08:00:00,11,6,8,3.4,100,110.88,1004.3,0.0,90,0.11
2024-11-06 09:00:00,11,6,9,5.5,95,527.4,1004.9,0.0,270,0.0
2024-11-06 10:00:00,11,6,10,8.6,82,992.88,1005.4,0.0,360,0.19
2024-11-06 11:00:00,11,6,11,11.7,71,1266.48,1005.5,0.0,27,0.22
2024-11-06 12:00:00,11,6,12,13.7,66,1494.72,1005.4,0.0,45,0.14
2024-11-06 13:00:00,11,6,13,14.9,60,1482.48,1004.2,0.0,90,0.19
2024-11-06 14:00:00,11,6,14,15.7,57,1336.32,1003.8,0.0,207,0.22
2024-11-06 15:00:00,11,6,15,15.5,63,1000.08,1003.4,0.0,117,0.22
2024-11-06 16:00:00,11,6,16,15.1,64,519.12,1002.8,0.0,135,0.14
2024-11-06 17:00:00,11,6,17,13.9,66,104.4,1003.6,0.0,90,0.11
2024-11-06 18:00:00,11,6,18,13.0,70,0.0,1003.9,0.0,338,0.53
2024-11-06 19:00:00,11,6,19,8.2,78,0.0,1004.5,0.0,17,1.06
2024-11-06 20:00:00,11,6,20,4.8,97,0.0,1005.0,0.0,79,0.5
2024-11-06 21:00:00,11,6,21,5.2,90,0.0,1005.6,0.0,76,0.42
2024-11-06 22:00:00,11,6,22,4.8,96,0.0,1006.0,0.0,45,0.14
2024-11-06 23:00:00,11,6,23,5.3,92,0.0,1006.4,0.0,270,0.0
2024-11-07 00:00:00,11,7,0,4.9,96,0.0,1006.2,0.0,243,0.22
2024-11-07 01:00:00,11,7,1,5.6,93,0.0,1005.9,0.0,270,0.11
2024-11-07 02:00:00,11,7,2,5.4,93,0.0,1006.1,0.0,315,0.14
2024-11-07 03:00:00,11,7,3,5.1,93,0.0,1005.9,0.0,315,0.14
